customerID,gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn
0463-['W' 'M' 'T' 'P' 'R'],Male,0,No,No,53,Yes,No,Fiber optic,No,No,No,Yes,Yes,Yes,One year,Yes,Mailed check,25.19,1335.07,No
0464-['J' 'W' 'H' 'R' 'U'],Male,1,No,Yes,21,Yes,No,Fiber optic,No,Yes,Yes,Yes,No,Yes,Month-to-month,Yes,Credit card (automatic),91.47,1920.87,No
0465-['A' 'W' 'H' 'F' 'E'],Female,0,No,Yes,34,Yes,No,Fiber optic,Yes,Yes,No,No,Yes,No,Two year,Yes,Electronic check,24.26,824.84,No
0466-['O' 'V' 'O' 'B' 'A'],Female,0,No,No,26,Yes,Yes,DSL,No,Yes,Yes,No,Yes,No,One year,No,Electronic check,96.19,2500.94,No
0467-['W' 'W' 'Z' 'K' 'J'],Female,0,Yes,No,18,Yes,Yes,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,Month-to-month,No,Credit card (automatic),24.28,437.04,No
0468-['R' 'R' 'Q' 'Z' 'H'],Male,0,Yes,No,37,Yes,No,DSL,No,No,No,No,No,No,Month-to-month,Yes,Bank transfer (automatic),117.27,4338.99,No
0469-['O' 'H' 'Q' 'L' 'H'],Male,0,No,No,72,Yes,No,Fiber optic,No,Yes,Yes,Yes,No,No,One year,No,Electronic check,54.88,3951.36,No
0470-['Y' 'N' 'D' 'A' 'A'],Female,0,No,Yes,72,Yes,No,Fiber optic,Yes,No,No,Yes,Yes,No,One year,No,Electronic check,48.6,3499.2,No
0471-['S' 'P' 'N' 'U' 'P'],Male,0,No,Yes,37,Yes,Yes,DSL,Yes,No,Yes,No,Yes,No,One year,No,Bank transfer (automatic),49.15,1818.55,No
0472-['E' 'I' 'Z' 'B' 'R'],Male,0,No,No,16,Yes,Yes,DSL,Yes,No,No,No,No,Yes,Month-to-month,Yes,Electronic check,42.65,682.4,Yes
0473-['F' 'I' 'A' 'I' 'Y'],Male,0,Yes,No,4,Yes,No,DSL,Yes,No,Yes,No,No,No,Two year,Yes,Electronic check,36.08,144.32,No
0474-['P' 'M' 'I' 'U' 'M'],Male,0,Yes,No,1,Yes,No,Fiber optic,No,Yes,No,Yes,Yes,No,Month-to-month,Yes,Electronic check,102.6,102.6,Yes
0475-['I' 'K' 'D' 'B' 'F'],Female,0,No,No,6,Yes,Yes,Fiber optic,No,Yes,No,Yes,Yes,No,Two year,Yes,Mailed check,65.05,390.3,No
0476-['N' 'D' 'F' 'S' 'F'],Male,1,Yes,No,9,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Electronic check,28.18,253.62,No
0477-['B' 'R' 'M' 'I' 'W'],Female,0,Yes,No,3,Yes,No,Fiber optic,Yes,No,No,No,Yes,No,Month-to-month,Yes,Electronic check,101.52,304.56,Yes
0478-['S' 'M' 'K' 'A' 'X'],Female,0,No,Yes,6,Yes,Yes,DSL,No,Yes,No,Yes,Yes,No,Month-to-month,No,Electronic check,105.8,634.8,Yes
0479-['V' 'G' 'Y' 'U' 'O'],Male,0,Yes,No,2,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,112.2,224.4,No
0480-['A' 'L' 'Z' 'G' 'O'],Female,0,No,Yes,17,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Credit card (automatic),22.76,386.92,No
0481-['U' 'S' 'Y' 'A' 'Q'],Female,0,Yes,Yes,3,Yes,No,DSL,No,Yes,Yes,No,No,No,Month-to-month,Yes,Bank transfer (automatic),66.37,199.11,No
0482-['Q' 'C' 'L' 'F' 'Z'],Female,0,No,No,32,Yes,Yes,DSL,No,Yes,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,79.66,2549.12,No
0483-['K' 'C' 'H' 'N' 'N'],Male,0,No,No,9,Yes,No,Fiber optic,Yes,No,Yes,No,No,No,One year,Yes,Mailed check,103.95,935.55,No
0484-['J' 'B' 'N' 'I' 'C'],Female,0,Yes,No,26,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Credit card (automatic),81.26,2112.76,No
0485-['U' 'Z' 'H' 'P' 'B'],Male,0,Yes,Yes,51,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Electronic check,64.69,3299.19,No
0486-['F' 'U' 'Z' 'Y' 'L'],Female,0,Yes,No,2,Yes,No,DSL,No,No,Yes,No,No,No,Month-to-month,No,Mailed check,95.88,191.76,No
0487-['E' 'B' 'P' 'E' 'O'],Female,0,No,Yes,72,Yes,Yes,Fiber optic,No,No,Yes,Yes,No,No,Month-to-month,No,Mailed check,65.26,4698.72,No
0488-['L' 'D' 'O' 'K' 'P'],Female,0,Yes,No,24,Yes,Yes,Fiber optic,No,Yes,No,No,No,Yes,Month-to-month,No,Credit card (automatic),47.13,1131.12,No
0489-['W' 'F' 'N' 'R' 'L'],Female,0,Yes,No,1,Yes,Yes,Fiber optic,No,Yes,No,No,No,Yes,Month-to-month,Yes,Mailed check,77.54,77.54,Yes
0490-['K' 'M' 'U' 'W' 'K'],Male,0,Yes,Yes,9,Yes,No,Fiber optic,No,Yes,Yes,No,Yes,No,Month-to-month,Yes,Electronic check,70.15,631.35,Yes
0491-['W' 'P' 'O' 'U' 'O'],Female,0,No,Yes,52,Yes,Yes,DSL,No,No,No,No,Yes,No,Month-to-month,Yes,Bank transfer (automatic),67.76,3523.52,No
0492-['Y' 'D' 'K' 'S' 'O'],Female,0,No,Yes,21,Yes,Yes,Fiber optic,No,No,No,Yes,Yes,Yes,Month-to-month,No,Mailed check,37.55,788.55,No
0493-['D' 'U' 'M' 'V' 'S'],Female,0,No,No,8,Yes,Yes,Fiber optic,Yes,No,No,Yes,Yes,No,Month-to-month,No,Mailed check,104.24,833.92,Yes
0494-['B' 'N' 'D' 'P' 'U'],Male,0,No,No,67,Yes,No,Fiber optic,No,No,No,Yes,No,Yes,Month-to-month,No,Electronic check,23.82,1595.94,No
0495-['T' 'N' 'O' 'C' 'H'],Male,0,Yes,No,37,Yes,No,Fiber optic,No,Yes,Yes,Yes,No,Yes,Two year,No,Electronic check,23.46,868.02,No
0496-['P' 'J' 'D' 'R' 'B'],Female,0,No,No,31,Yes,Yes,DSL,No,No,Yes,No,No,No,Month-to-month,No,Credit card (automatic),32.27,1000.37,No
0497-['Q' 'M' 'D' 'Z' 'Y'],Female,0,Yes,No,52,No,No phone service,Fiber optic,No,No,No,Yes,No,Yes,One year,No,Credit card (automatic),29.43,1530.36,No
0498-['K' 'G' 'L' 'J' 'G'],Female,0,No,No,35,Yes,Yes,DSL,No,Yes,No,Yes,No,Yes,Month-to-month,No,Credit card (automatic),108.03,3781.05,No
0499-['M' 'G' 'X' 'Q' 'J'],Female,0,No,No,8,Yes,No,DSL,No,No,Yes,No,No,Yes,Month-to-month,Yes,Credit card (automatic),98.61,788.88,Yes
0500-['J' 'X' 'D' 'T' 'D'],Male,0,Yes,No,21,Yes,No,Fiber optic,Yes,No,Yes,No,Yes,No,Month-to-month,Yes,Electronic check,47.04,987.84,No
0501-['V' 'G' 'V' 'A' 'L'],Male,0,Yes,Yes,44,Yes,No,Fiber optic,No,No,Yes,Yes,No,Yes,Month-to-month,No,Electronic check,45.09,1983.96,Yes
0502-['X' 'M' 'J' 'O' 'M'],Male,0,No,No,4,Yes,Yes,Fiber optic,No,Yes,No,Yes,Yes,No,Two year,No,Mailed check,59.37,237.48,No
0503-['W' 'V' 'V' 'U' 'V'],Female,0,Yes,No,4,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,71.17,284.68,No
0504-['I' 'Z' 'I' 'O' 'J'],Female,0,Yes,Yes,4,Yes,Yes,Fiber optic,No,Yes,No,Yes,Yes,Yes,Month-to-month,Yes,Credit card (automatic),51.74,206.96,No
0505-['X' 'Z' 'Y' 'J' 'H'],Female,1,No,No,5,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,Month-to-month,No,Electronic check,110.37,551.85,Yes
0506-['X' 'P' 'Q' 'Z' 'E'],Female,0,No,Yes,2,Yes,No,Fiber optic,No,Yes,Yes,No,No,No,Month-to-month,Yes,Electronic check,22.93,45.86,Yes
0507-['D' 'R' 'X' 'S' 'D'],Male,1,No,Yes,43,No,No phone service,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Mailed check,116.05,4990.15,Yes
0508-['G' 'J' 'Y' 'R' 'S'],Male,0,No,Yes,40,Yes,No,Fiber optic,Yes,Yes,Yes,No,No,No,One year,Yes,Mailed check,76.08,3043.2,No
0509-['D' 'J' 'A' 'W' 'R'],Male,0,Yes,No,3,No,No phone service,Fiber optic,Yes,No,No,No,No,Yes,Two year,Yes,Mailed check,114.4,343.2,No
0510-['E' 'O' 'Q' 'C' 'L'],Female,0,Yes,No,29,Yes,Yes,DSL,No,No,No,Yes,No,Yes,Month-to-month,No,Bank transfer (automatic),88.96,2579.84,No
0511-['B' 'A' 'W' 'U' 'Q'],Female,0,No,Yes,23,Yes,No,Fiber optic,Yes,Yes,Yes,Yes,No,No,One year,Yes,Mailed check,33.47,769.81,No
0512-['V' 'P' 'E' 'O' 'C'],Female,0,No,Yes,7,No,No phone service,Fiber optic,No,No,Yes,No,No,Yes,Two year,No,Electronic check,88.73,621.11,No
0513-['G' 'K' 'J' 'I' 'N'],Female,0,Yes,No,6,Yes,Yes,DSL,No,No,No,No,Yes,No,Month-to-month,Yes,Mailed check,116.81,700.86,No
0514-['M' 'Y' 'Y' 'B' 'C'],Female,0,Yes,No,6,Yes,No,Fiber optic,Yes,No,Yes,No,Yes,No,Month-to-month,Yes,Credit card (automatic),69.0,414.0,No
0515-['G' 'U' 'R' 'C' 'J'],Male,1,Yes,No,31,Yes,Yes,DSL,Yes,No,Yes,No,Yes,No,Two year,No,Credit card (automatic),107.53,3333.43,No
0516-['V' 'G' 'I' 'Q' 'K'],Female,1,No,No,9,Yes,Yes,Fiber optic,No,Yes,Yes,Yes,No,Yes,Month-to-month,No,Bank transfer (automatic),118.97,1070.73,No
0517-['G' 'X' 'N' 'S' 'D'],Female,0,Yes,No,7,Yes,No,DSL,No,Yes,Yes,No,Yes,Yes,One year,No,Bank transfer (automatic),52.53,367.71,No
0518-['Z' 'F' 'J' 'G' 'M'],Male,1,No,No,0,Yes,No,DSL,Yes,Yes,Yes,No,Yes,No,Month-to-month,Yes,Bank transfer (automatic),60.08,0.0,No
0519-['N' 'D' 'H' 'E' 'A'],Male,0,No,Yes,57,Yes,No,DSL,No,No,No,No,Yes,Yes,One year,Yes,Electronic check,46.04,2624.28,No
0520-['D' 'C' 'I' 'H' 'A'],Female,0,No,Yes,33,Yes,No,Fiber optic,No,No,No,Yes,No,No,Month-to-month,Yes,Bank transfer (automatic),112.36,3707.88,No
0521-['F' 'I' 'G' 'D' 'M'],Male,0,No,No,15,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Bank transfer (automatic),81.9,1228.5,No
0522-['Q' 'B' 'E' 'L' 'U'],Female,0,Yes,No,68,Yes,No,Fiber optic,Yes,No,No,Yes,No,No,One year,Yes,Mailed check,95.24,6476.32,No
0523-['H' 'F' 'H' 'R' 'C'],Female,1,Yes,No,8,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Credit card (automatic),38.32,306.56,No
0524-['V' 'L' 'Z' 'C' 'V'],Male,0,No,No,26,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Electronic check,61.79,1606.54,No
0525-['F' 'B' 'W' 'L' 'B'],Female,1,Yes,Yes,8,Yes,Yes,DSL,No,Yes,Yes,No,Yes,Yes,One year,No,Mailed check,82.97,663.76,No
0526-['F' 'Q' 'C' 'B' 'W'],Female,1,Yes,No,9,Yes,No,DSL,Yes,Yes,Yes,Yes,No,No,Two year,Yes,Electronic check,93.06,837.54,No
0527-['T' 'H' 'V' 'L' 'Z'],Female,0,No,No,44,Yes,No,DSL,No,No,No,No,Yes,Yes,Month-to-month,No,Credit card (automatic),85.0,3740.0,No
0528-['D' 'E' 'M' 'O' 'Y'],Male,0,Yes,No,37,Yes,No,Fiber optic,No,Yes,Yes,No,No,Yes,Two year,Yes,Electronic check,90.38,3344.06,No
0529-['W' 'P' 'J' 'Y' 'W'],Male,0,No,Yes,8,Yes,Yes,Fiber optic,Yes,No,No,Yes,No,Yes,Month-to-month,Yes,Mailed check,80.81,646.48,No
0530-['P' 'L' 'Q' 'P' 'L'],Male,0,Yes,No,2,Yes,Yes,DSL,No,Yes,No,No,No,No,Month-to-month,No,Electronic check,37.8,75.6,No
0531-['H' 'T' 'C' 'P' 'M'],Male,0,Yes,No,10,Yes,No,Fiber optic,No,No,No,No,No,No,Two year,Yes,Credit card (automatic),73.67,736.7,Yes
0532-['W' 'S' 'H' 'V' 'E'],Female,0,Yes,No,34,Yes,No,Fiber optic,Yes,No,Yes,Yes,No,No,Month-to-month,Yes,Electronic check,109.24,3714.16,No
0533-['T' 'H' 'X' 'L' 'A'],Male,0,No,No,2,Yes,No,Fiber optic,Yes,No,No,No,No,Yes,Month-to-month,No,Electronic check,30.37,60.74,Yes
0534-['Y' 'U' 'T' 'F' 'V'],Female,1,No,No,26,No,No phone service,Fiber optic,No,No,No,No,No,No,One year,No,Electronic check,42.12,1095.12,No
0535-['R' 'H' 'G' 'A' 'U'],Male,0,Yes,No,52,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Electronic check,62.93,3272.36,No
0536-['P' 'L' 'F' 'T' 'B'],Male,0,Yes,No,4,Yes,No,Fiber optic,Yes,Yes,Yes,Yes,No,No,Month-to-month,No,Electronic check,25.48,101.92,Yes
0537-['N' 'D' 'A' 'W' 'R'],Female,0,No,No,47,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Credit card (automatic),56.65,2662.55,No
0538-['M' 'B' 'I' 'U' 'B'],Male,0,Yes,Yes,1,Yes,Yes,Fiber optic,Yes,No,Yes,No,Yes,No,Month-to-month,No,Bank transfer (automatic),60.53,60.53,Yes
0539-['Y' 'I' 'A' 'K' 'C'],Male,0,Yes,Yes,26,Yes,Yes,Fiber optic,Yes,Yes,No,No,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),101.82,2647.32,No
0540-['T' 'W' 'Z' 'D' 'R'],Female,0,Yes,No,37,Yes,No,DSL,Yes,Yes,No,No,No,Yes,Month-to-month,Yes,Mailed check,118.5,4384.5,No
0541-['W' 'F' 'C' 'V' 'K'],Male,0,No,No,14,Yes,No,DSL,Yes,No,No,Yes,No,Yes,Month-to-month,Yes,Mailed check,37.38,523.32,No
0542-['O' 'V' 'E' 'T' 'J'],Female,0,Yes,No,5,Yes,No,DSL,No,No,No,No,No,No,Month-to-month,Yes,Mailed check,39.27,196.35,Yes
0543-['L' 'O' 'Q' 'J' 'F'],Male,0,Yes,Yes,62,Yes,Yes,DSL,No,No,No,No,No,No,Month-to-month,Yes,Credit card (automatic),110.99,6881.38,No
0544-['R' 'M' 'C' 'X' 'J'],Female,0,No,Yes,0,Yes,No,DSL,No,No,Yes,Yes,No,Yes,Month-to-month,Yes,Electronic check,108.8,0.0,No
0545-['N' 'F' 'C' 'P' 'G'],Male,0,Yes,No,19,Yes,No,Fiber optic,No,Yes,Yes,No,No,Yes,Two year,Yes,Mailed check,116.18,2207.42,No
0546-['T' 'N' 'I' 'O' 'U'],Female,0,No,Yes,11,Yes,No,Fiber optic,No,Yes,No,No,No,Yes,Two year,No,Mailed check,103.76,1141.36,No
0547-['C' 'B' 'B' 'C' 'R'],Male,0,No,No,14,Yes,No,DSL,No,Yes,No,Yes,No,No,Month-to-month,No,Electronic check,73.77,1032.78,Yes
0548-['N' 'T' 'R' 'J' 'Y'],Female,0,No,No,18,Yes,No,DSL,No,Yes,No,No,Yes,No,Two year,Yes,Bank transfer (automatic),76.82,1382.76,No
0549-['B' 'Y' 'V' 'A' 'D'],Male,1,Yes,Yes,18,Yes,Yes,Fiber optic,Yes,No,No,No,No,No,Month-to-month,No,Electronic check,61.59,1108.62,No
0550-['N' 'A' 'N' 'P' 'V'],Male,0,No,No,5,Yes,No,Fiber optic,Yes,No,Yes,No,No,No,Two year,No,Mailed check,19.09,95.45,No
0551-['N' 'T' 'C' 'C' 'I'],Male,0,Yes,No,27,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Electronic check,68.49,1849.23,Yes
0552-['F' 'Y' 'M' 'U' 'B'],Female,0,Yes,Yes,0,Yes,No,Fiber optic,No,No,No,Yes,Yes,No,One year,Yes,Bank transfer (automatic),107.67,0.0,No
0553-['H' 'U' 'B' 'D' 'Y'],Female,0,No,No,0,Yes,No,DSL,No,No,No,No,No,No,Two year,No,Electronic check,29.09,0.0,No
0554-['O' 'D' 'M' 'L' 'M'],Male,0,No,Yes,15,No,No phone service,DSL,No,Yes,No,No,Yes,Yes,Month-to-month,No,Bank transfer (automatic),39.3,589.5,Yes
0555-['N' 'T' 'R' 'F' 'K'],Male,0,Yes,No,18,Yes,No,DSL,No,No,Yes,Yes,Yes,No,Two year,Yes,Mailed check,35.76,643.68,No
0556-['B' 'W' 'S' 'S' 'E'],Male,0,Yes,Yes,7,No,No phone service,DSL,No,No,No,Yes,No,No,Two year,No,Bank transfer (automatic),19.21,134.47,No
0557-['S' 'B' 'J' 'Y' 'B'],Male,0,Yes,No,19,Yes,No,Fiber optic,Yes,No,No,No,Yes,Yes,Month-to-month,No,Credit card (automatic),32.17,611.23,No
0558-['K' 'R' 'X' 'O' 'I'],Male,0,No,No,17,Yes,No,DSL,Yes,Yes,No,No,Yes,Yes,Month-to-month,No,Mailed check,64.23,1091.91,No
0559-['W' 'S' 'I' 'C' 'U'],Male,0,No,Yes,10,Yes,Yes,DSL,Yes,Yes,No,Yes,No,Yes,Month-to-month,No,Credit card (automatic),100.1,1001.0,No
0560-['I' 'N' 'S' 'G' 'P'],Male,1,No,Yes,25,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,No,Electronic check,22.1,552.5,No
0561-['P' 'A' 'D' 'D' 'G'],Male,0,No,No,72,Yes,No,DSL,No,No,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,60.94,4387.68,No
0562-['H' 'Q' 'E' 'G' 'T'],Male,1,No,No,16,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Credit card (automatic),104.16,1666.56,No
0563-['T' 'D' 'F' 'G' 'R'],Male,0,Yes,No,37,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Electronic check,112.42,4159.54,Yes
0564-['E' 'T' 'C' 'G' 'V'],Female,0,Yes,Yes,6,Yes,No,Fiber optic,Yes,No,No,Yes,No,No,Two year,Yes,Electronic check,25.87,155.22,No
0565-['N' 'G' 'E' 'V' 'E'],Female,0,No,No,34,No,No phone service,Fiber optic,Yes,No,No,No,No,Yes,Month-to-month,Yes,Electronic check,85.7,2913.8,Yes
0566-['W' 'B' 'U' 'V' 'F'],Male,0,Yes,No,25,Yes,No,DSL,No,Yes,Yes,No,No,Yes,One year,Yes,Electronic check,88.46,2211.5,No
0567-['O' 'U' 'J' 'W' 'Z'],Male,0,Yes,Yes,24,Yes,Yes,DSL,Yes,Yes,No,No,Yes,No,Two year,Yes,Credit card (automatic),116.76,2802.24,No
0568-['X' 'G' 'E' 'A' 'M'],Male,0,Yes,No,53,Yes,Yes,Fiber optic,No,Yes,Yes,Yes,No,No,One year,Yes,Credit card (automatic),21.2,1123.6,No
0569-['U' 'Z' 'R' 'M' 'U'],Female,0,No,Yes,6,Yes,No,DSL,No,No,Yes,No,No,No,Month-to-month,Yes,Electronic check,99.82,598.92,Yes
0570-['U' 'R' 'E' 'M' 'D'],Female,0,Yes,No,11,No,No phone service,DSL,Yes,Yes,No,Yes,No,No,Month-to-month,Yes,Bank transfer (automatic),80.75,888.25,No
0571-['Q' 'C' 'Q' 'K' 'U'],Male,0,Yes,No,2,Yes,Yes,Fiber optic,Yes,No,Yes,No,No,Yes,Month-to-month,Yes,Bank transfer (automatic),25.23,50.46,No
0572-['T' 'W' 'U' 'Z' 'D'],Male,0,No,Yes,31,Yes,Yes,DSL,No,Yes,Yes,No,No,No,Month-to-month,Yes,Electronic check,52.7,1633.7,Yes
0573-['B' 'T' 'P' 'R' 'H'],Male,0,Yes,No,44,Yes,No,Fiber optic,No,Yes,No,No,No,No,Month-to-month,Yes,Electronic check,74.04,3257.76,No
0574-['C' 'I' 'T' 'F' 'J'],Female,0,No,No,12,Yes,No,Fiber optic,Yes,No,Yes,No,Yes,No,Month-to-month,No,Mailed check,23.41,280.92,Yes
0575-['U' 'J' 'M' 'Q' 'I'],Female,0,Yes,No,10,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Bank transfer (automatic),89.98,899.8,No
0576-['Q' 'X' 'I' 'I' 'A'],Female,0,No,Yes,25,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Mailed check,107.14,2678.5,Yes
0577-['B' 'P' 'A' 'J' 'R'],Female,0,Yes,Yes,1,Yes,No,DSL,Yes,Yes,No,Yes,No,Yes,Two year,Yes,Bank transfer (automatic),73.87,73.87,No
0578-['Z' 'H' 'U' 'K' 'W'],Male,0,No,No,8,Yes,No,Fiber optic,Yes,Yes,No,No,No,No,Month-to-month,Yes,Credit card (automatic),87.45,699.6,No
0579-['B' 'H' 'V' 'H' 'Q'],Male,0,No,Yes,10,Yes,No,Fiber optic,No,No,Yes,Yes,Yes,Yes,One year,No,Credit card (automatic),82.21,822.1,No
0580-['O' 'Q' 'W' 'X' 'M'],Male,0,No,No,17,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Credit card (automatic),23.92,406.64,No
0581-['S' 'E' 'L' 'A' 'W'],Male,0,No,No,15,Yes,No,Fiber optic,Yes,No,Yes,Yes,No,No,Two year,Yes,Electronic check,50.7,760.5,No
0582-['E' 'H' 'M' 'H' 'Y'],Male,0,Yes,No,5,Yes,No,DSL,No,Yes,Yes,No,No,Yes,Two year,No,Credit card (automatic),103.85,519.25,No
0583-['W' 'K' 'A' 'M' 'S'],Female,0,No,No,18,Yes,No,DSL,No,No,No,Yes,Yes,Yes,Two year,Yes,Credit card (automatic),98.06,1765.08,No
0584-['X' 'C' 'X' 'Q' 'E'],Male,0,No,No,62,Yes,Yes,Fiber optic,Yes,Yes,No,No,Yes,Yes,One year,Yes,Mailed check,52.98,3284.76,No
0585-['T' 'U' 'H' 'Z' 'N'],Male,1,No,No,0,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Bank transfer (automatic),71.12,0.0,No
0586-['D' 'K' 'T' 'O' 'S'],Female,0,No,No,27,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Bank transfer (automatic),112.82,3046.14,No
0587-['G' 'S' 'S' 'K' 'Z'],Male,0,Yes,Yes,23,Yes,No,Fiber optic,Yes,No,No,No,Yes,Yes,Month-to-month,No,Credit card (automatic),117.94,2712.62,No
0588-['E' 'E' 'V' 'H' 'J'],Male,0,No,Yes,61,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Bank transfer (automatic),100.06,6103.66,No
0589-['F' 'O' 'P' 'Q' 'H'],Male,0,Yes,Yes,24,No,No phone service,Fiber optic,Yes,Yes,Yes,No,No,Yes,Month-to-month,No,Mailed check,46.23,1109.52,Yes
0590-['H' 'Y' 'I' 'B' 'O'],Female,0,No,No,23,Yes,Yes,Fiber optic,Yes,No,No,No,Yes,No,Two year,No,Electronic check,28.19,648.37,No
0591-['R' 'C' 'Q' 'D' 'D'],Male,0,Yes,Yes,35,Yes,Yes,Fiber optic,Yes,No,No,No,No,No,One year,Yes,Credit card (automatic),109.42,3829.7,No
0592-['N' 'I' 'I' 'Y' 'Z'],Female,0,Yes,Yes,7,Yes,Yes,Fiber optic,Yes,Yes,No,Yes,No,No,Month-to-month,No,Electronic check,85.4,597.8,No
0593-['W' 'R' 'J' 'U' 'D'],Female,1,No,No,21,Yes,No,Fiber optic,No,No,No,Yes,Yes,No,Month-to-month,Yes,Bank transfer (automatic),103.27,2168.67,No
0594-['L' 'H' 'B' 'V' 'M'],Female,0,No,No,17,Yes,No,Fiber optic,Yes,Yes,No,Yes,Yes,Yes,One year,Yes,Electronic check,25.88,439.96,No
0595-['U' 'P' 'B' 'K' 'J'],Female,0,No,No,13,Yes,Yes,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),75.43,980.59,No
0596-['O' 'Q' 'H' 'R' 'W'],Male,0,No,No,1,Yes,No,Fiber optic,No,No,No,No,No,Yes,One year,No,Electronic check,107.14,107.14,Yes
0597-['I' 'Y' 'H' 'N' 'Z'],Female,0,No,No,8,Yes,No,Fiber optic,No,Yes,Yes,Yes,No,No,Two year,Yes,Electronic check,24.26,194.08,No
0598-['Y' 'R' 'V' 'T' 'T'],Male,0,No,No,7,Yes,Yes,Fiber optic,No,No,Yes,Yes,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),113.03,791.21,Yes
0599-['U' 'L' 'S' 'N' 'Q'],Female,0,Yes,No,30,Yes,Yes,DSL,Yes,No,Yes,No,Yes,Yes,One year,No,Bank transfer (automatic),85.13,2553.9,No
0600-['X' 'U' 'C' 'Z' 'W'],Male,0,No,No,60,Yes,No,DSL,Yes,No,Yes,Yes,No,No,Month-to-month,No,Mailed check,55.56,3333.6,No
0601-['G' 'Q' 'L' 'I' 'O'],Male,0,No,No,6,Yes,No,Fiber optic,No,No,Yes,Yes,No,No,Month-to-month,Yes,Electronic check,87.04,522.24,Yes
0602-['R' 'U' 'M' 'U' 'H'],Male,0,No,Yes,1,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Credit card (automatic),90.86,90.86,No
0603-['N' 'H' 'N' 'G' 'W'],Male,0,No,Yes,72,No,No phone service,Fiber optic,No,No,Yes,No,No,Yes,Two year,Yes,Bank transfer (automatic),82.89,5968.08,No
0604-['L' 'K' 'V' 'V' 'K'],Male,0,No,No,28,Yes,Yes,DSL,No,Yes,Yes,No,Yes,No,One year,Yes,Bank transfer (automatic),92.12,2579.36,No
0605-['Y' 'V' 'M' 'R' 'B'],Male,0,Yes,Yes,52,Yes,Yes,DSL,No,No,No,Yes,No,No,One year,Yes,Credit card (automatic),31.58,1642.16,No
0606-['U' 'O' 'T' 'R' 'O'],Male,0,No,Yes,3,Yes,Yes,Fiber optic,No,Yes,No,No,No,Yes,Month-to-month,Yes,Mailed check,72.96,218.88,Yes
0607-['S' 'W' 'X' 'L' 'M'],Male,0,Yes,No,38,Yes,No,Fiber optic,No,Yes,Yes,Yes,No,No,One year,Yes,Credit card (automatic),50.21,1907.98,No
0608-['V' 'K' 'E' 'A' 'X'],Male,0,No,Yes,40,Yes,No,DSL,No,No,Yes,Yes,No,Yes,Two year,Yes,Electronic check,31.17,1246.8,No
0609-['C' 'V' 'S' 'W' 'G'],Male,1,Yes,No,3,No,No phone service,Fiber optic,No,Yes,Yes,Yes,Yes,No,Month-to-month,Yes,Electronic check,89.93,269.79,No
